X,T
  2.48002480E-03,  1.86579779E+02
  2.49002490E-03,  1.86208743E+02
  2.50002500E-03,  1.85839550E+02
  2.51002510E-03,  1.85470358E+02
  2.52002520E-03,  1.85103014E+02
  2.53002530E-03,  1.84735670E+02
  2.54002540E-03,  1.84370180E+02
  2.55002550E-03,  1.84004690E+02
  2.56002560E-03,  1.83641059E+02
  2.57002570E-03,  1.83277428E+02
  2.58002580E-03,  1.82915661E+02
  2.59002590E-03,  1.82553895E+02
  2.60002600E-03,  1.82193998E+02
  2.61002610E-03,  1.81834100E+02
  2.62002620E-03,  1.81476076E+02
  2.63002630E-03,  1.81118053E+02
  2.64002640E-03,  1.80761907E+02
  2.65002650E-03,  1.80405762E+02
  2.66002660E-03,  1.80051499E+02
  2.67002670E-03,  1.79697236E+02
  2.68002680E-03,  1.79344860E+02
  2.69002690E-03,  1.78992484E+02
  2.70002700E-03,  1.78641998E+02
  2.71002710E-03,  1.78291513E+02
  2.72002720E-03,  1.77942922E+02
  2.73002730E-03,  1.77594331E+02
  2.74002740E-03,  1.77247638E+02
  2.75002750E-03,  1.76900945E+02
  2.76002760E-03,  1.76556154E+02
  2.77002770E-03,  1.76211363E+02
  2.78002780E-03,  1.75868476E+02
  2.79002790E-03,  1.75525590E+02
  2.80002800E-03,  1.75184611E+02
  2.81002810E-03,  1.74843633E+02
  2.82002820E-03,  1.74504565E+02
  2.83002830E-03,  1.74165497E+02
  2.84002840E-03,  1.73828343E+02
  2.85002850E-03,  1.73491190E+02
  2.86002860E-03,  1.73155952E+02
  2.87002870E-03,  1.72820714E+02
  2.88002880E-03,  1.72487395E+02
  2.89002890E-03,  1.72154077E+02
  2.90002900E-03,  1.71822679E+02
  2.91002910E-03,  1.71491281E+02
  2.92002920E-03,  1.71161806E+02
  2.93002930E-03,  1.70832331E+02
  2.94002940E-03,  1.70504782E+02
  2.95002950E-03,  1.70177232E+02
  2.96002960E-03,  1.69851609E+02
  2.97002970E-03,  1.69525986E+02
  2.98002980E-03,  1.69202292E+02
  2.99002990E-03,  1.68878597E+02
  3.00003000E-03,  1.68556833E+02
  3.01003010E-03,  1.68235068E+02
  3.02003020E-03,  1.67915235E+02
  3.03003030E-03,  1.67595402E+02
  3.04003040E-03,  1.67277501E+02
  3.05003050E-03,  1.66959600E+02
  3.06003060E-03,  1.66643632E+02
  3.07003070E-03,  1.66327664E+02
  3.08003080E-03,  1.66013631E+02
  3.09003090E-03,  1.65699597E+02
  3.10003100E-03,  1.65387498E+02
  3.11003110E-03,  1.65075399E+02
  3.12003120E-03,  1.64765236E+02
  3.13003130E-03,  1.64455072E+02
  3.14003140E-03,  1.64146844E+02
  3.15003150E-03,  1.63838616E+02
  3.16003160E-03,  1.63532323E+02
  3.17003170E-03,  1.63226031E+02
  3.18003180E-03,  1.62921674E+02
  3.19003190E-03,  1.62617318E+02
  3.20003200E-03,  1.62314897E+02
