A=0,A=5,A=10,A=20,Y
1.0,2.392490599118622,3.990832248824337,7.268918910293699,0.215
1.0,2.4110938809877673,4.025399542158315,7.333754929098165,0.22
1.0,2.429399539468571,4.059377798855458,7.397466550859184,0.225
1.0,2.447415518771583,4.092784383828417,7.460087829554202,0.23
1.0,2.4651493853557747,4.125635760272599,7.521651007736534,0.23500000000000001
1.0,2.4826083524548705,4.1579475536174515,7.582186648131438,0.24
1.0,2.4997993025865277,4.189734609744128,7.641723753153354,0.245
1.0,2.5167288082437063,4.22101104808626,7.700289873673908,0.25
1.0,2.5334031509446793,4.251790310153652,7.75791120820055,0.255
1.0,2.549828338798228,4.28208520395255,7.814612693480448,0.26
1.0,2.566010122723198,4.311907944719271,7.870418087419696,0.265
1.0,2.5819540114464288,4.341270192334772,7.925350045100608,0.27
1.0,2.597665285389757,4.3701830857451744,7.979430188587233,0.275
1.0,2.6131490095451357,4.398657274676265,8.032679171129105,0.28
1.0,2.6284100454266213,4.426702948897762,8.085116736303554,0.28500000000000003
1.0,2.643453062178917,4.454329865265041,8.136761772576357,0.29
1.0,2.65828254691416,4.481547372741389,8.187632363707593,0.295
1.0,2.6729028143415214,4.508364435582249,8.23774583538332,0.3
1.0,2.6873180157479144,4.534789654843974,8.287118798413099,0.305
1.0,2.7015321473824914,4.560831288362836,8.335767188797751,0.31
1.0,2.7155490582926274,4.58649726933531,8.383706304940313,0.315
1.0,2.7293724576546405,4.611795223617549,8.43095084224544,0.32
1.0,2.743005921638521,4.636732485850405,8.47751492532797,0.325
1.0,2.756452899842378,4.661316114506047,8.523412138029636,0.33
1.0,2.7697167213291203,4.685552905943083,8.568655551423623,0.335
1.0,2.782800600295027,4.7094494075489015,8.61325774996946,0.34
1.0,2.795707641397268,4.733011930040689,8.657230855965478,0.34500000000000003
1.0,2.808440844765126,4.756246558990038,8.700586552432377,0.35000000000000003
1.0,2.821003110717568,4.779159165630215,8.743336104549211,0.355
1.0,2.83339724420792,4.801755416999924,8.785490379752197,0.36
1.0,2.8456259590146815,4.824040785472677,8.827059866596883,0.365
1.0,2.857691881695979,4.846020557716636,8.868054692475424,0.37
1.0,2.8695975553237254,4.867699843125976,8.90848464027273,0.375
1.0,2.881345443012299,4.88908358176136,8.948359164038148,0.38
1.0,2.8929379312553682,4.910176551833977,8.987687403742793,0.385
1.0,2.9043773330834575,4.930983376764793,9.0264781991869,0.39
1.0,2.9156658910538535,4.951508531848092,9.064740103116202,0.395
1.0,2.9268057800836003,4.97175635054604,9.102481393601574,0.4
1.0,2.9377991101355034,4.991731030438925,9.139710085731865,0.405
1.0,2.9486479287663454,5.01143663885377,9.176433942665836,0.41000000000000003
1.0,2.959354223545831,5.0308771181922864,9.212660486085557,0.41500000000000004
1.0,2.969919924354165,5.050056290977527,9.248397006090356,0.42
1.0,2.980346905565608,5.068977864637136,9.2836505705674,0.425
1.0,2.9906369881248196,5.087645436039775,9.31842803407227,0.43
1.0,3.0007919415223374,5.10606249580006,9.352736046250422,0.435
1.0,3.010813485675092,5.124232432366257,9.386581059828126,0.44
1.0,3.0207032927174513,5.142158535903925,9.419969338199389,0.445
1.0,3.0304629887079217,5.15984400198779,9.452906962633481,0.45
1.0,3.0400941552562855,5.177291935113233,9.4853998391259,0.455
1.0,3.049598331075632,5.19450535203802,9.517453704914004,0.46
1.0,3.058977013463459,5.211487184964135,9.549074134677072,0.465
1.0,3.068231659715732,5.228240284568918,9.580266546439184,0.47000000000000003
