eta,f,g,h
3.2,2.7231827565894933,0.9999747343429615,0.0001308272930877763
3.25,2.7731816369545217,0.9999804817434881,0.00010235742352815436
3.3000000000000003,2.823180773220473,0.9999849700853143,7.981819837077353e-05
3.35,2.8731801090379157,0.9999884635633252,6.203562788020811e-05
3.4000000000000004,2.9231795999492896,0.9999911736481023,4.8054308180445204e-05
3.45,2.9731792110003594,0.9999932689941432,3.709972214216428e-05
3.5,3.023178914803891,0.9999948836203165,2.854641354410603e-05
3.5500000000000003,3.073178689975984,0.9999961236354976,2.1891246653193974e-05
3.6,3.1231785198782087,0.9999970727449818,1.6731044116813365e-05
3.6500000000000004,3.1731783916096448,0.9999977967399093,1.2743973238915629e-05
3.7,3.2231782952022803,0.9999983471423057,9.674123823133485e-06
3.75,3.2731782229812225,0.9999987641522916,7.318788952659361e-06
3.8000000000000003,3.3231781690579196,0.999999079021201,5.5180226532502985e-06
3.85,3.373178128930285,0.9999993159545569,4.146105635483011e-06
3.9000000000000004,3.42317809916839,0.9999994936317645,3.1046017778812995e-06
3.95,3.4731780771683685,0.9999996264147347,2.3167340845731133e-06
4.0,3.5231780609604666,0.999999725305173,1.7228496607124555e-06
4.05,3.5731780490599077,0.9999997986997008,1.276778925918265e-06
4.1000000000000005,3.6231780403514637,0.9999998529830656,9.429256375703687e-07
4.15,3.6731780340004616,0.9999998929922645,6.939512142700721e-07
4.2,3.7231780293844348,0.999999922378187,5.089400079150153e-07
4.25,3.7731780260408314,0.9999999438862653,3.7195196367356687e-07
4.3,3.8231780236271633,0.9999999595733834,2.708858026778671e-07
4.3500000000000005,3.873178021890751,0.9999999709748456,1.9658995098481569e-07
4.4,3.923178020645845,0.9999999792323785,1.4217022781259914e-07
4.45,3.9731780197563875,0.9999999851918684,1.0245306270029175e-07
4.5,4.02317801912308,0.9999999894776848,7.357103593008674e-08
4.55,4.073178018673712,0.999999992548972,5.264428115658859e-08
4.6000000000000005,4.123178018355964,0.9999999947421129,3.753657717986414e-08
4.65,4.173178018132065,0.9999999963026297,2.6669452202199295e-08
4.7,4.223178017974845,0.9999999974090581,1.8881063379438956e-08
4.75,4.27317801786483,0.999999998190736,1.3319518821219845e-08
4.800000000000001,4.323178017788117,0.99999999874101,9.362619568520358e-09
4.8500000000000005,4.373178017734813,0.999999999126998,6.557676623941688e-09
4.9,4.423178017697904,0.9999999993967776,4.576603540584756e-09
4.95,4.473178017672438,0.9999999995846584,3.182544228153006e-09
5.0,4.523178017654928,0.9999999997150321,2.2051593884242493e-09
5.050000000000001,4.573178017642932,0.9999999998051743,1.5224266292079847e-09
5.1000000000000005,4.623178017634743,0.9999999998672747,1.0472789302440333e-09
5.15,4.673178017629172,0.9999999999099022,7.178191374634935e-10
5.2,4.723178017625395,0.9999999999390566,4.902189765232379e-10
5.25,4.773178017622844,0.9999999999589241,3.335676179716529e-10
5.300000000000001,4.823178017621127,0.9999999999724134,2.2615020967009514e-10
5.3500000000000005,4.873178017619976,0.9999999999815391,1.5276668818842154e-10
5.4,4.923178017619207,0.9999999999876901,1.0281775431053575e-10
5.45,4.973178017618694,0.9999999999918209,6.894707027527147e-11
5.5,5.0231780176183545,0.9999999999945848,4.6065373737746995e-11
5.550000000000001,5.07317801761813,0.9999999999964274,3.06676906092207e-11
5.6000000000000005,5.123178017617982,0.9999999999976515,2.0342616480206743e-11
5.65,5.173178017617885,0.9999999999984617,1.344147015913677e-11
5.7,5.223178017617822,0.9999999999989957,8.845146837188622e-12
5.75,5.273178017617781,0.9999999999993462,5.799805080641818e-12
5.800000000000001,5.323178017617754,0.9999999999995757,3.7903014060702844e-12
5.8500000000000005,5.373178017617737,0.9999999999997252,2.468025783741723e-12
5.9,5.423178017617725,0.9999999999998225,1.603162047558726e-12
5.95,5.473178017617718,0.9999999999998855,1.035838081975271e-12
6.0,5.523178017617713,0.9999999999999261,6.661338147750939e-13
6.050000000000001,5.57317801761771,0.9999999999999521,4.2743586448068527e-13
6.1000000000000005,5.623178017617708,0.9999999999999688,2.731148640577885e-13
6.15,5.673178017617707,0.9999999999999795,1.7430501486614958e-13
6.2,5.723178017617706,0.9999999999999862,1.1435297153639112e-13
6.25,5.773178017617706,0.9999999999999909,7.66053886991358e-14
6.300000000000001,5.823178017617706,0.9999999999999939,5.10702591327572e-14
6.3500000000000005,5.873178017617706,0.999999999999996,3.6637359812630166e-14
6.4,5.923178017617706,0.9999999999999976,2.4424906541753444e-14
6.45,5.973178017617705,0.9999999999999984,1.554312234475219e-14
6.5,6.023178017617705,0.9999999999999991,1.1102230246251565e-14
6.550000000000001,6.073178017617705,0.9999999999999996,8.881784197001252e-15
6.6000000000000005,6.123178017617705,1.0,6.661338147750939e-15
6.65,6.173178017617705,1.0000000000000002,2.220446049250313e-15
6.7,6.2231780176177045,1.0000000000000002,0.0
6.75,6.273178017617704,1.0000000000000002,0.0
6.800000000000001,6.323178017617704,1.0000000000000002,0.0
6.8500000000000005,6.373178017617704,1.0000000000000002,0.0
6.9,6.423178017617704,1.0000000000000002,0.0
6.95,6.473178017617704,1.0000000000000002,0.0
7.0,6.523178017617703,1.0000000000000002,0.0
7.050000000000001,6.573178017617703,1.0000000000000002,0.0
7.1000000000000005,6.623178017617703,1.0000000000000002,0.0
7.15,6.673178017617703,1.0000000000000002,0.0
7.2,6.723178017617703,1.0000000000000002,0.0
7.25,6.7731780176177026,1.0000000000000002,0.0
7.300000000000001,6.823178017617702,1.0000000000000002,0.0
7.3500000000000005,6.873178017617702,1.0000000000000002,0.0
7.4,6.923178017617702,1.0000000000000002,0.0
7.45,6.973178017617702,1.0000000000000002,0.0
7.5,7.023178017617702,1.0000000000000002,0.0
7.550000000000001,7.0731780176177015,1.0000000000000002,0.0
7.6000000000000005,7.123178017617701,1.0000000000000002,0.0
7.65,7.173178017617701,1.0000000000000002,0.0
7.7,7.223178017617701,1.0000000000000002,0.0
7.75,7.273178017617701,1.0000000000000002,0.0
7.800000000000001,7.323178017617701,1.0000000000000002,0.0
7.8500000000000005,7.3731780176177,1.0000000000000002,0.0
7.9,7.4231780176177,1.0000000000000002,0.0
7.95,7.4731780176177,1.0000000000000002,0.0
8.0,7.5231780176177,1.0000000000000002,0.0
8.05,7.5731780176177,1.0000000000000002,0.0
8.1,7.6231780176176995,1.0000000000000002,0.0
8.15,7.673178017617699,1.0000000000000002,0.0
8.200000000000001,7.723178017617699,1.0000000000000002,0.0
8.25,7.773178017617699,1.0000000000000002,0.0
8.3,7.823178017617699,1.0000000000000002,0.0
8.35,7.873178017617699,1.0000000000000002,0.0
8.4,7.9231780176176985,1.0000000000000002,0.0
8.450000000000001,7.973178017617698,1.0000000000000002,0.0
8.5,8.023178017617699,1.0000000000000002,0.0
8.55,8.0731780176177,1.0000000000000002,0.0
8.6,8.1231780176177,1.0000000000000002,0.0
8.65,8.173178017617701,1.0000000000000002,0.0
8.700000000000001,8.223178017617702,1.0000000000000002,0.0
8.75,8.273178017617703,1.0000000000000002,0.0
8.8,8.323178017617703,1.0000000000000002,0.0
8.85,8.373178017617704,1.0000000000000002,0.0
8.9,8.423178017617705,1.0000000000000002,0.0
8.950000000000001,8.473178017617705,1.0000000000000002,0.0
9.0,8.523178017617706,1.0000000000000002,0.0
9.05,8.573178017617707,1.0000000000000002,0.0
9.1,8.623178017617708,1.0000000000000002,0.0
9.15,8.673178017617708,1.0000000000000002,0.0
9.200000000000001,8.723178017617709,1.0000000000000002,0.0
9.25,8.77317801761771,1.0000000000000002,0.0
9.3,8.82317801761771,1.0000000000000002,0.0
9.35,8.873178017617711,1.0000000000000002,0.0
9.4,8.923178017617712,1.0000000000000002,0.0
9.450000000000001,8.973178017617712,1.0000000000000002,0.0
9.5,9.023178017617713,1.0000000000000002,0.0
9.55,9.073178017617714,1.0000000000000002,0.0
9.600000000000001,9.123178017617715,1.0000000000000002,0.0
9.65,9.173178017617715,1.0000000000000002,0.0
9.700000000000001,9.223178017617716,1.0000000000000002,0.0
9.75,9.273178017617717,1.0000000000000002,0.0
9.8,9.323178017617717,1.0000000000000002,0.0
9.850000000000001,9.373178017617718,1.0000000000000002,0.0
9.9,9.423178017617719,1.0000000000000002,0.0
9.950000000000001,9.47317801761772,1.0000000000000002,-2.220446049250313e-15
10.0,9.52317801761772,1.0,-4.440892098500626e-15
