X,Y,Z,U,V
0.04,0.7,0.0,-1.283625916043194e-07,2.459352967632146e-06
0.04,0.7199999999999999,0.0,-1.3985800113625542e-07,2.1970538455177687e-06
0.04,0.7399999999999999,0.0,-1.4732325194043478e-07,1.960598010543157e-06
0.04,0.76,0.0,-1.5144265041287254e-07,1.7476873248805682e-06
0.04,0.78,0.0,-1.5281185491980065e-07,1.5562009407949225e-06
0.04,0.8,0.0,-1.5194721353232112e-07,1.3841843363634902e-06
0.04,0.82,0.0,-1.4929432496482042e-07,1.2298387911407494e-06
0.04,0.8399999999999999,0.0,-1.452358652273859e-07,1.0915112996753888e-06
0.04,0.8599999999999999,0.0,-1.4009872290873733e-07,9.676849209358297e-07
0.04,0.88,0.0,-1.3416048589866494e-07,8.569695614139039e-07
0.04,0.9,0.0,-1.276553218386143e-07,7.580931890592415e-07
0.04,0.92,0.0,-1.2077929373721976e-07,6.698934743397914e-07
0.04,0.94,0.0,-1.1369515107066493e-07,5.913098537045341e-07
0.04,0.96,0.0,-1.0653663536080715e-07,5.213760096080444e-07
0.04,0.98,0.0,-9.941233773322032e-08,4.592127600982781e-07
0.04,1.0,0.0,-9.240914434196816e-08,4.0402134981376473e-07
0.04,1.02,0.0,-8.559530384157898e-08,3.550771331209061e-07
0.04,1.04,0.0,-7.902314931836586e-08,3.1172363907505057e-07
0.04,1.06,0.0,-7.273150528797837e-08,2.73367006932414e-07
0.04,1.08,0.0,-6.674780854560533e-08,2.3947078008956805e-07
0.04,1.1,0.0,-6.108996983833514e-08,2.095510455938834e-07
0.04,1.12,0.0,-5.576800153195502e-08,1.8317190575805292e-07
0.04,1.14,0.0,-5.0785434680704555e-08,1.5994126792705875e-07
0.04,1.16,0.0,-4.614054718980449e-08,1.3950693808576361e-07
0.04,1.18,0.0,-4.1827423096604095e-08,1.215530037563025e-07
0.04,1.2,0.0,-3.783686139477732e-08,1.0579649151104657e-07
0.04,1.22,0.0,-3.4157151293364704e-08,9.198428441200865e-08
0.04,1.24,0.0,-3.077472934331163e-08,7.989028477278633e-08
0.04,1.26,0.0,-2.7674732481869353e-08,6.931280781539295e-08
0.04,1.28,0.0,-2.4841459741948443e-08,6.007219205193917e-08
0.04,1.3,0.0,-2.225875415032852e-08,5.200861255024853e-08
0.04,1.32,0.0,-1.991031519564519e-08,4.4980083633271934e-08
0.04,1.34,0.0,-1.777995118359661e-08,3.886063800494484e-08
0.04,1.36,0.0,-1.5851779811413486e-08,3.353866978061862e-08
0.04,1.38,0.0,-1.411038438429567e-08,2.891542941956547e-08
0.04,1.4,0.0,-1.254093226071705e-08,2.4903659102049083e-08
0.04,1.42,0.0,-1.1129261348311198e-08,2.1426357656441962e-08
0.04,1.44,0.0,-9.861939774237071e-09,1.841566471590372e-08
0.04,1.46,0.0,-8.726303220009822e-09,1.5811854362949237e-08
0.04,1.48,0.0,-7.710473837134283e-09,1.3562429098278944e-08
0.04,1.5,0.0,-6.803364142759813e-09,1.1621305542644832e-08
0.04,1.52,0.0,-5.994668830212696e-09,9.948083843099744e-09
0.04,1.54,0.0,-5.274847013885706e-09,8.507393304176163e-09
0.04,1.56,0.0,-4.635097057857299e-09,7.268307297433318e-09
0.04,1.58,0.0,-4.0673258091408865e-09,6.203821017036692e-09
0.04,1.6,0.0,-3.564113766109265e-09,5.2903861427626e-09
0.04,1.62,0.0,-3.1186774570191782e-09,4.5074969437050396e-09
0.04,1.64,0.0,-2.7248300794503206e-09,3.83732280509949e-09
