A=0,A=5,A=10,A=20,Y
1.0,1.6250140955822499,2.250058254806574,3.500299245496185,0.5
1.0,1.6249371754007365,2.2498915454267414,3.499934258436793,0.505
1.0,1.6247652470197,2.249558844410512,3.499279021708735,0.51
1.0,1.6244982813364577,2.2490600780572856,3.4983333660699074,0.515
1.0,1.6241362270000856,2.248395123587128,3.4970970257427694,0.52
1.0,1.6236790103630543,2.247563808993806,3.4955696380539685,0.525
1.0,1.6231265354099573,2.246565912833888,3.493750742932251,0.53
1.0,1.6224786836631708,2.245401163951309,3.491639782263029,0.535
1.0,1.621735314065229,2.2440692411366046,3.489236099097498,0.54
1.0,1.6208962628376449,2.242569772719814,3.486538936713709,0.545
1.0,1.619961343315846,2.240902336095864,3.4835474375264703,0.55
1.0,1.6189303457598445,2.239066457181018,3.4802606418424404,0.555
1.0,1.6178030371401912,2.237061609798773,3.4766774864562096,0.56
1.0,1.6165791608987108,2.2348872149933543,3.472796803082589,0.5650000000000001
1.0,1.615258436683446,2.232542640268727,3.468617316619727,0.5700000000000001
1.0,1.6138405600571752,2.2300271987507894,3.4641376432370183,0.5750000000000001
1.0,1.6123252021788,2.227340148270162,3.4593562882811026,0.58
1.0,1.6107120094568215,2.224480690362705,3.4542716439925174,0.585
1.0,1.6090006031740594,2.221447969184613,3.448881987024807,0.59
1.0,1.6071905790826764,2.2182410703386144,3.443185475757059,0.595
1.0,1.605281506968497,2.2148590196074935,3.4371801473899564,0.6
1.0,1.6032729301835162,2.2113007815907815,3.430863914814483,0.605
1.0,1.6011643651454042,2.2075652582400993,3.424234563241388,0.61
1.0,1.5989553008027084,2.203651287288226,3.417289746578411,0.615
1.0,1.5966451980643581,2.1995576405665322,3.410026983541057,0.62
1.0,1.594233489191958,2.195283022204952,3.4024436534814115,0.625
1.0,1.5917195771532406,2.1908260667081523,3.394536991918059,0.63
1.0,1.5891028349349208,2.1861853369010253,3.3863040857486113,0.635
1.0,1.5863826048130591,2.181359321736022,3.3777418681246734,0.64
1.0,1.5835581975788962,2.176346433954205,3.368847112967197,0.645
1.0,1.5806288917179614,2.171145007591209,3.3596164290981623,0.65
1.0,1.5775939325400945,2.165753295318507,3.3500462539622755,0.655
1.0,1.574452531257835,2.160169465609579,3.3401328469099276,0.66
1.0,1.5712038640104444,2.154391599719649,3.3298722820099447,0.665
