 X,Y,Z,T,T_a
0.0001,0.0067,0.0,371.133,371.13079808042824
0.0001,0.0068,0.0,371.097,371.0948899884394
0.0001,0.0069,0.0,371.058,371.0556172096113
0.0001,0.007,0.0,371.015,371.01268382449945
0.0001,0.0071,0.0,370.968,370.9657504539529
0.0001,0.0072,0.0,370.917,370.91442670629783
0.0001,0.0073,0.0,370.86,370.85826193431046
0.0001,0.0074,0.0,370.799,370.79673385011745
0.0001,0.0075,0.0,370.731,370.72923440198423
0.0001,0.0076,0.0,370.657,370.6550521190117
0.0001,0.0077,0.0,370.575,370.5733498547834
0.0001,0.0078,0.0,370.485,370.48313647421924
0.0001,0.0079,0.0,370.385,370.3832304763986
0.0001,0.008,0.0,370.274,370.2722127481853
0.0001,0.0081,0.0,370.15,370.1483644704732
0.0001,0.0082,0.0,370.012,370.0095844442936
0.0001,0.0083,0.0,369.855,369.85327742921163
0.0001,0.0084,0.0,369.678,369.67620092271295
0.0001,0.0085,0.0,369.476,369.47425117653336
0.0001,0.0086,0.0,369.244,369.2421584056933
0.0001,0.0087,0.0,368.975,368.97304291453236
0.0001,0.0088,0.0,368.66,368.65775219738055
0.0001,0.0089,0.0,368.286,368.28384202267614
0.0001,0.009,0.0,367.836,367.83395735072423
0.0001,0.0091,0.0,367.285,367.28315771174323
0.0001,0.0092,0.0,366.596,366.5942912212126
0.0001,0.0093,0.0,365.712,365.70953977859193
0.0001,0.0094,0.0,364.535,364.53388836841566
0.0001,0.0095,0.0,362.9,362.8999658846534
0.0001,0.0096,0.0,360.479,360.48477197527245
0.0001,0.0097,0.0,356.553,356.5827023135907
0.0001,0.0098,0.0,349.25,349.3634350761839
0.0001,0.0099,0.0,332.991,332.9847027141747
0.0001,0.01,0.0,293.0,293.00000000000017
0.0002,0.0,0.0,293.0,293.0
0.0002,0.0001,0.0,316.715,316.5958716801035
0.0002,0.0002,0.0,332.965,332.9649784176415
0.0002,0.0003,0.0,342.984,343.0007174652776
0.0002,0.0004,0.0,349.308,349.31649890453315
0.0002,0.0005,0.0,353.53,353.533237076881
0.0002,0.0006,0.0,356.507,356.5079818320535
0.0002,0.0007,0.0,358.703,358.7031871191299
0.0002,0.0008,0.0,360.383,360.38240361023804
0.0002,0.0009,0.0,361.706,361.70444985276976
0.0002,0.001,0.0,362.771,362.76989737046426
0.0002,0.0011,0.0,363.647,363.6451975749153
0.0002,0.0012,0.0,364.378,364.3758737798121
0.0002,0.0013,0.0,364.996,364.9940889507611
0.0002,0.0014,0.0,365.525,365.5231762561297
0.0002,0.0015,0.0,365.983,365.9804550225118
0.0002,0.0016,0.0,366.381,366.3790395947761
0.0002,0.0017,0.0,366.731,366.72903546619773
0.0002,0.0018,0.0,367.041,367.03835077889545
0.0002,0.0019,0.0,367.316,367.3132595670535
0.0002,0.002,0.0,367.561,367.5588007290791
0.0002,0.0021,0.0,367.782,367.7790658488252
0.0002,0.0022,0.0,367.98,367.97741028022665
