X,Y,Z,u,v,p,rho,T,Mach
    0.0000064500,    0.0000172000,    0.0000000000,   34.5734440194,         0.61702,    146411.71979,         1.77034,       288.16192,         0.10162
    0.0000064500,    0.0000193500,    0.0000000000,   34.5134369499,         0.30004,    146402.92092,         1.77023,       288.16349,         0.10143
    0.0000064500,    0.0000215000,    0.0000000000,   34.4941315403,         0.00444,    146399.35933,         1.77018,       288.16360,         0.10137
    0.0000064500,    0.0000236500,    0.0000000000,   34.5099305542,        -0.28972,    146400.62067,         1.77021,       288.16224,         0.10142
    0.0000064500,    0.0000258000,    0.0000000000,   34.5639462028,        -0.60186,    146406.51745,         1.77030,       288.15906,         0.10159
    0.0000064500,    0.0000279500,    0.0000000000,   34.6695261402,        -0.95356,    146417.24632,         1.77047,       288.15282,         0.10193
    0.0000064500,    0.0000301000,    0.0000000000,   34.8553966911,        -1.37459,    146432.44133,         1.77072,       288.14102,         0.10252
    0.0000064500,    0.0000322500,    0.0000000000,   35.2058263016,        -1.90990,    146452.66871,         1.77111,       288.11754,         0.10362
    0.0000064500,    0.0000344000,    0.0000000000,   35.8478085752,        -2.64032,    146474.74660,         1.77161,       288.07971,         0.10565
    0.0000064500,    0.0000365500,    0.0000000000,   36.7169199561,        -3.56023,    146509.94149,         1.77225,       288.04531,         0.10843
    0.0000064500,    0.0000387000,    0.0000000000,   35.9194561292,        -4.27217,    146561.07349,         1.77255,       288.09692,         0.10632
    0.0000064500,    0.0000408500,    0.0000000000,   29.0905015207,        -3.55144,    146666.09850,         1.77286,       288.25245,         0.08611
    0.0000064500,    0.0000430000,    0.0000000000,    0.0000000000,         0.00000,    146771.12352,         1.77470,       288.16000,         0.00000
    0.0000086000,    0.0000000000,    0.0000000000,    0.0000000000,         0.00000,    146335.65400,         1.76943,       288.16000,         0.00000
    0.0000086000,    0.0000021500,    0.0000000000,   26.9178117135,         3.21113,    146350.17113,         1.77014,       288.07413,         0.07968
    0.0000086000,    0.0000043000,    0.0000000000,   35.5077602477,         4.23247,    146364.68826,         1.77090,       287.97818,         0.10512
    0.0000086000,    0.0000064500,    0.0000000000,   37.3344274143,         3.96716,    146389.96645,         1.77110,       287.99548,         0.11037
    0.0000086000,    0.0000086000,    0.0000000000,   36.8396588432,         3.17757,    146420.14392,         1.77109,       288.05761,         0.10869
    0.0000086000,    0.0000107500,    0.0000000000,   36.0716728284,         2.38547,    146422.04213,         1.77082,       288.10499,         0.10625
    0.0000086000,    0.0000129000,    0.0000000000,   35.4948905105,         1.72684,    146412.63407,         1.77053,       288.13301,         0.10444
    0.0000086000,    0.0000150500,    0.0000000000,   35.1494891034,         1.19920,    146399.93503,         1.77029,       288.14732,         0.10336
    0.0000086000,    0.0000172000,    0.0000000000,   34.9569522171,         0.75971,    146389.65545,         1.77012,       288.15440,         0.10276
    0.0000086000,    0.0000193500,    0.0000000000,   34.8595852933,         0.37170,    146382.90023,         1.77002,       288.15754,         0.10245
    0.0000086000,    0.0000215000,    0.0000000000,   34.8277168161,         0.00727,    146379.93404,         1.76998,       288.15809,         0.10235
    0.0000086000,    0.0000236500,    0.0000000000,   34.8522341753,        -0.35526,    146380.52112,         1.77000,       288.15625,         0.10243
    0.0000086000,    0.0000258000,    0.0000000000,   34.9371011878,        -0.73698,    146384.40644,         1.77008,       288.15154,         0.10270
    0.0000086000,    0.0000279500,    0.0000000000,   35.1004125207,        -1.16064,    146391.59560,         1.77022,       288.14242,         0.10321
    0.0000086000,    0.0000301000,    0.0000000000,   35.3839026933,        -1.65758,    146401.17745,         1.77044,       288.12569,         0.10411
    0.0000086000,    0.0000322500,    0.0000000000,   35.8921141196,        -2.27417,    146412.99873,         1.77076,       288.09576,         0.10571
    0.0000086000,    0.0000344000,    0.0000000000,   36.7044074455,        -3.06469,    146425.11266,         1.77116,       288.05557,         0.10826
    0.0000086000,    0.0000365500,    0.0000000000,   37.4569862392,        -3.90739,    146450.51557,         1.77161,       288.03148,         0.11070
    0.0000086000,    0.0000387000,    0.0000000000,   35.7464798984,        -4.27427,    146489.52240,         1.77172,       288.09169,         0.10581
